,literature,temperatureOptimumMaximum,temperatureOptimum,commentary,organism,ecNumber
7477,[725687],,37,assay at,Malassezia globosa,1.6.2.4
7478,[743879],,50,,Alburnus tarichi,1.6.2.4
7479,[726081],,20,assay at,Homo sapiens,1.6.3.1
7480,[392725],,25,assay at,Corynebacterium glutamicum,1.6.3.1
7481,[696745],,30,assay at,Bos taurus,1.6.3.1
7482,[719803],,65,assay at,Saccharolobus solfataricus,1.6.3.1
7483,[727447],,70,assay at,Thermococcus kodakarensis,1.6.3.1
7484,[719803],,87,,Saccharolobus solfataricus,1.6.3.1
7485,[724618],,90,above,Thermococcus kodakarensis,1.6.3.1
7486,[722229],,70,,Thermococcus profundus,1.6.3.2
7487,[725576],,75,,Thermococcus kodakarensis,1.6.3.2
7488,[721365],,25,assay at,Brevibacterium sp.,1.6.3.3
7489,[724161],58,30,"the activity increases with the temperature, as tested from 30&deg;C to 58&deg;C",Acidianus ambivalens,1.6.3.3
7490,[722881],,45,,Streptococcus mutans,1.6.3.3
7491,[722505],,55,assay at,Archaeoglobus fulgidus,1.6.3.3
7492,[724161],,58,assay at,Acidianus ambivalens,1.6.3.3
7493,[721365],,70,,Brevibacterium sp.,1.6.3.3
7494,[722175],,75,assay at,Pyrococcus furiosus,1.6.3.3
7495,[722518],,80,,Thermotoga maritima,1.6.3.3
7496,[722505],,80,,Archaeoglobus fulgidus,1.6.3.3
7497,[722179],,80,,Archaeoglobus fulgidus,1.6.3.3
7498,[721455],,85,above,Pseudothermotoga hypogea,1.6.3.3
7499,[721957],,95,,Pyrococcus horikoshii,1.6.3.3
7500,[741740],,7,,Streptococcus pyogenes,1.6.3.4
7501,[723206],,25,assay at,Streptococcus agalactiae,1.6.3.4
7502,[743220],,35,,Bacillus subtilis,1.6.3.4
7503,[744974],40,35,,Lactobacillus pentosus,1.6.3.4
7504,[742128],,37,,Methanobrevibacter smithii,1.6.3.4
7505,[721336],,37,assay at,Anaerocolumna aminovalerica,1.6.3.4
7506,[722881],,45,,Streptococcus mutans,1.6.3.4
7507,[721809],,55,,Streptococcus pyogenes,1.6.3.4
7508,[722139],,65,,Lactobacillus rhamnosus,1.6.3.4
7509,[688840],,22,assay at room temperature,Helicobacter hepaticus,1.6.5.10
7510,[696015],,25,assay at,Homo sapiens,1.6.5.10
7511,[724333],,25,assay at,Synechocystis sp.,1.6.5.10
7512,[394367],,25,assay at,Microcystis aeruginosa,1.6.5.10
7513,[743650],,30,assay at,Pseudomonas putida,1.6.5.10
7514,[699999],,37,assay at,Homo sapiens,1.6.5.10
7515,[743659],,-999,stopped-flow spectrophotometry at 10&deg;C,Paracoccus denitrificans,1.6.5.2
7516,[724356],26,22,assay at,Homo sapiens,1.6.5.2
7517,[714189],,23,assay at room temperature,Saccharomyces cerevisiae,1.6.5.2
7518,[14080],,25,assay at,Rattus norvegicus,1.6.5.2
7519,[392725],,25,assay at,Corynebacterium glutamicum,1.6.5.2
7520,[676693],,25,assay at,Triticum monococcum,1.6.5.2
7521,[743659],,25,assay at,Paracoccus denitrificans,1.6.5.2
7522,[725775],,27,assay at,Homo sapiens,1.6.5.2
7523,[741669],,30,,Phanerochaete chrysosporium,1.6.5.2
7524,[394373],43,30,decrease above,Glycine max,1.6.5.2
7525,[724531],,37,assay at,Homo sapiens,1.6.5.2
7526,[725060],,37,assay at,Bos taurus,1.6.5.2
7527,[680629],70,60,,Pseudomonas putida,1.6.5.2
7528,[657024],,20,assay at,Nicotiana langsdorffii x Nicotiana sanderae,1.6.5.4
7529,[725795],,25,assay at,Acanthus ebracteatus,1.6.5.4
7530,[392726],,39,,Neurospora crassa,1.6.5.4
7531,[724333],25,10,assay at,Synechocystis sp.,1.6.5.5
7532,[701074],,25,assay at,Mus musculus,1.6.5.5
7533,[741786],,25,assay at,Escherichia coli,1.6.5.5
7534,[696058],,25,assay at,Pseudomonas syringae,1.6.5.5
7535,[14081],,35,,Camelus dromedarius,1.6.5.5
7536,[288624],,40,reduction of ketopantoyl lactone,Mucor ambiguus,1.6.5.6
7537,[288624],,45,reduction of isatin,Mucor ambiguus,1.6.5.6
7538,[725313],,25,assay at,Trypanosoma cruzi,1.6.99.1
7539,[724683],,37,assay at,Lithobates catesbeianus,1.6.99.1
7540,[392922],,14,,Skeletonema costatum,1.7.1.1
7541,[392894],,15,"enzyme from cells grown at 5&deg;C, 15&deg;C or at 25&deg;C",Skeletonema costatum,1.7.1.1
7542,[700639],,25,assay at,Hordeum vulgare,1.7.1.1
7543,[392855],,30,,Triticum aestivum,1.7.1.1
7544,[392855],,30,,Zea mays,1.7.1.1
7545,[392894],,30,,Zea mays,1.7.1.1
7546,[392894],,30,,Cucurbita maxima,1.7.1.1
7547,[696835],,30,assay at,Fusarium oxysporum,1.7.1.1
7548,[394435],,37,assay at,Sus scrofa,1.7.1.10
7549,[659405],,40,,Rhodobacter capsulatus,1.7.1.10
7550,[394432],,37,enzyme assay,Rattus norvegicus,1.7.1.11
7551,[724879],,37,,Escherichia coli,1.7.1.13
7552,[743107],,40,,Pectobacterium carotovorum subsp. carotovorum,1.7.1.13
7553,[721456],,30,,Rhodobacter capsulatus,1.7.1.15
7554,[740929],,30,,Pseudomonas sp. HK-6,1.7.1.16
7555,[739974],,50,,Phanerochaete chrysosporium,1.7.1.16
7556,[742823],,30,assay at,Escherichia coli,1.7.1.17
7557,[743185],,35,assay at,Escherichia coli,1.7.1.17
7558,[743106],,53,,Rhodococcus opacus,1.7.1.17
7559,[744136],80,65,broad,Bacillus sp. B29,1.7.1.17
7560,[744571],,75,,Lysinibacillus sphaericus,1.7.1.17
7561,[744137],,85,,Geobacillus stearothermophilus,1.7.1.17
7562,[658564],,30,"biotransformation of hexahydro-1,3,5-trinitro-1,3,5-triazine",Aspergillus niger,1.7.1.2
7563,[672297],45,35,,Rhodotorula glutinis,1.7.1.2
7564,[655625],,-999,a growth temperature above 20&deg;C is required,Bradyrhizobium sp.,1.7.1.3
7565,[395975],28,23,assay at,Neurospora crassa,1.7.1.3
7566,[395976],,25,,Neurospora crassa,1.7.1.3
7567,[395978],,25,,Neurospora crassa,1.7.1.3
7568,[395968],,25,assay at,Aspergillus nidulans,1.7.1.3
7569,[395979],,25,assay at,Aspergillus nidulans,1.7.1.3
7570,[395977],,28,assay at,Neurospora crassa,1.7.1.3
7571,[395977],,28,assay at,Hordeum vulgare,1.7.1.3
7572,[395971],,30,assay at,Aspergillus nidulans,1.7.1.3
7573,[655625],,30,assay at,Bradyrhizobium sp.,1.7.1.3
7574,[395969],,30,assay at,Funaria hygrometrica,1.7.1.3
7575,[741637],,45,,Fusarium oxysporum,1.7.1.3
7576,[655625],,30,assay at,Bradyrhizobium sp.,1.7.1.4
7577,[743182],30,20,,Shewanella xiamenensis,1.7.1.6
7578,[697495],,22,activity assay at room temperature,Enterococcus faecium,1.7.1.6
7579,[700040],,23,activity assay at room temperature,Enterococcus faecalis,1.7.1.6
7580,[697495],,25,assay at,Enterococcus faecium,1.7.1.6
7581,[697494],,25,activity assay,Enterococcus faecalis,1.7.1.6
7582,[743853],37,25,assay at,Escherichia coli,1.7.1.6
7583,[743650],,30,assay at,Pseudomonas putida,1.7.1.6
7584,[696902],,30,activity assay,Rhodobacter sphaeroides,1.7.1.6
7585,[723925],37,30,,Clostridium perfringens,1.7.1.6
7586,[658574],,35,,Pseudomonas aeruginosa,1.7.1.6
7587,[657650],,35,,Pantoea agglomerans,1.7.1.6
7588,[673224],,35,,Pantoea agglomerans,1.7.1.6
7589,[741799],,35,,Pseudomonas sp. B1,1.7.1.6
7590,[742203],,35,assay at,Enterococcus faecalis,1.7.1.6
7591,[673224],40,35,,Staphylococcus aureus,1.7.1.6
7592,[673224],40,35,,Enterococcus faecalis,1.7.1.6
7593,[726415],,37,,Escherichia coli,1.7.1.6
7594,[742662],,37,assay at,bacterium enrichment culture clone V9DM,1.7.1.6
7595,[394295],,40,,Bacillus cereus,1.7.1.6
7596,[658773],,40,GST-fusion protein,Rhodobacter sphaeroides,1.7.1.6
7597,[742663],,40,recombinant chimeric fusion protein AZR-GDH,Shewanella oneidensis,1.7.1.6
7598,[394299],,41,,Pseudomonas sp.,1.7.1.6
7599,[673224],,41,,Pigmentiphaga kullae,1.7.1.6
7600,[673224],,45,,Escherichia coli,1.7.1.6
7601,[394298],,45,,Pseudomonas sp.,1.7.1.6
7602,[673224],,45,,Shigella dysenteriae,1.7.1.6
7603,[673224],,45,,Xenophilus azovorans,1.7.1.6
7604,[742324],,45,,Shewanella sp. IFN4,1.7.1.6
7605,[394310],,45,"azoreductases I and II, with ponceau SX",Escherichia coli,1.7.1.6
7606,[711584],,45,for activity of the enzyme with Orange I,Pigmentiphaga kullae,1.7.1.6
7607,[673224],,50,,Rhodobacter sphaeroides,1.7.1.6
7608,[394314],,50,recombinant enzyme,Bacillus sp. (in: Bacteria),1.7.1.6
7609,[658773],,50,native protein,Rhodobacter sphaeroides,1.7.1.6
7610,[695803],,50,"substrate 2-methyl-1,4-naphthoquinone, quinone reductase activity",Rhodobacter sphaeroides,1.7.1.6
7611,[696845],,55,,Bacillus sp. B29,1.7.1.6
7612,[673224],,70,,Bacillus sp. (in: Bacteria),1.7.1.6
7613,[696845],,70,,Bacillus sp. B29,1.7.1.6
7614,[394314],,70,native enzyme,Bacillus sp. (in: Bacteria),1.7.1.6
7615,[657603],,80,,Bacillus sp. (in: Bacteria),1.7.1.6
7616,[673224],,80,,Bacillus sp. (in: Bacteria),1.7.1.6
7617,[724045],,85,,Geobacillus stearothermophilus,1.7.1.6
7618,[743300],,25,assay at,Leishmania major,1.7.1.7
7619,[743568],37,35,assay at,Homo sapiens,1.7.1.7
7620,[743568],,38,,Trypanosoma brucei brucei,1.7.1.7
7621,[692112],,25,assay at,Pseudomonas putida,1.7.1.B1
7622,[690550],,25,assay at,Pseudomonas putida,1.7.1.B1
7623,[690551],,25,assay at,Pseudomonas putida,1.7.1.B1
7624,[740929],,30,,Pseudomonas sp.,1.7.1.B1
7625,[743709],,37,assay at,Escherichia coli,1.7.1.B2
7626,[742167],,22,assay at room temperature,Escherichia coli,1.7.1.B3
7627,[742109],,23,assay at,Bacillus subtilis,1.7.1.B3
7628,[741786],,25,assay at,Escherichia coli,1.7.1.B3
7629,[743709],,37,assay at,Escherichia coli,1.7.1.B3
7630,[726410],,60,,Bacillus badius,1.7.1.B4
7631,[696259],,25,assay at,Alcaligenes faecalis,1.7.2.1
7632,[644782],,30,,Paracoccus denitrificans,1.7.2.1
7633,[698810],,37,assay at,Paracoccus pantotrophus,1.7.2.1
7634,[727084],,70,,Haloferax mediterranei,1.7.2.1
7635,[674951],75,70,,Hydrogenobacter thermophilus,1.7.2.1
7636,[698876],,20,assay at,Escherichia coli,1.7.2.2
7637,[673685],,20,assay at,Desulfovibrio desulfuricans,1.7.2.2
7638,[696256],,25,assay at,Escherichia coli,1.7.2.2
7639,[696159],,30,assay at,Thioalkalivibrio nitratireducens,1.7.2.2
7640,[743303],,37,assay at,Caminibacter mediatlanticus,1.7.2.2
7641,[743303],,37,assay at,Nautilia profundicola,1.7.2.2
7642,[743303],,37,assay at,Campylobacter fetus subsp. fetus,1.7.2.2
7643,[743303],,37,assay at,Campylobacter curvus,1.7.2.2
7644,[672400],,80,,Thioalkalivibrio nitratireducens,1.7.2.2
7645,[437737],,30,assay at,Escherichia coli,1.7.2.3
7646,[656147],,37,assay at,Escherichia coli,1.7.2.3
7647,[392755],,45,,Salmonella enterica subsp. enterica serovar Typhimurium,1.7.2.3
7648,[392776],,60,"for molybdoenzyme, maximal activity remains the same at 80&deg;C",Escherichia coli,1.7.2.3
7649,[392776],,80,"for tungsten-substituted enzyme, maximal level above",Escherichia coli,1.7.2.3
7650,[742753],,22,assay at room temperature,Marinobacter hydrocarbonoclasticus,1.7.2.4
7651,[698456],,25,assay at,Achromobacter cycloclastes,1.7.2.4
7652,[699384],,25,assay at,Achromobacter cycloclastes,1.7.2.4
7653,[698456],,25,assay at,Marinobacter hydrocarbonoclasticus,1.7.2.4
7654,[394521],,60,,Rhodobacter sphaeroides,1.7.2.4
7655,[724958],,85,,Pyrobaculum aerophilum,1.7.2.4
7656,[698646],,25,assay at,Roseobacter denitrificans,1.7.2.5
7657,[692888],,30,assay at,Pseudomonas aeruginosa,1.7.2.5
7658,[742847],,30,assay at,Paracoccus denitrificans,1.7.2.5
7659,[741684],60,42,assay at,Thermus thermophilus,1.7.2.5
7660,[394325],,25,assay at,Nitrosomonas europaea,1.7.2.6
7661,[741829],,25,assay at,Nitrosospira multiformis,1.7.2.6
7662,[741829],,25,assay at,Nitrosococcus oceani,1.7.2.6
7663,[741829],,25,assay at,Nitrosomonas europaea,1.7.2.6
7664,[741829],,25,assay at,Nitrosomonas sp. JPCCT2,1.7.2.6
7665,[742931],,35,assay at,Candidatus Kuenenia stuttgartiensis,1.7.2.6
7666,[656327],,45,assay at,Nitrosomonas europaea,1.7.2.6
7667,[656327],,45,assay at,Nitrosomonas sp. K1,1.7.2.6
7668,[656327],,45,assay at,Nitrosomonas communis,1.7.2.6
7669,[394344],,35,assay at,Candidatus Brocadia anammoxidans,1.7.2.8
7670,[699041],,35,assay at,Candidatus Jettenia caeni,1.7.2.8
7671,[695734],,35,assay at,Candidatus Jettenia caeni,1.7.2.8
7672,[699041],,65,,Candidatus Jettenia caeni,1.7.2.8
7673,[394344],,65,highest activity with hydroxylamine as substrate,Candidatus Brocadia anammoxidans,1.7.2.8
7674,[655793],27,25,assay at,Fusarium oxysporum,1.7.3.1
7675,[654710],,30,assay at,Fusarium oxysporum,1.7.3.1
7676,[655786],,30,assay at,Fusarium oxysporum,1.7.3.1
7677,[655799],,30,assay at,Fusarium oxysporum,1.7.3.1
7678,[701100],,25,assay at,Cyberlindnera jadinii,1.7.3.3
7679,[724149],,27,isoform UIV,Aspergillus niger,1.7.3.3
7680,[394150],35,30,,Metabacillus fastidiosus,1.7.3.3
7681,[394132],,30,,Cyberlindnera jadinii,1.7.3.3
7682,[660334],,30,,Pseudomonas aeruginosa,1.7.3.3
7683,[743885],,30,,Aspergillus terreus,1.7.3.3
7684,[394182],,30,,Candida sp. (in: Saccharomycetales),1.7.3.3
7685,[701416],,30,,Microbacterium sp.,1.7.3.3
7686,[676968],37,30,,Aspergillus flavus,1.7.3.3
7687,[394144],,35,,Streptomyces cyanogenus,1.7.3.3
7688,[394178],,35,5 min incubation test,Cyberlindnera jadinii,1.7.3.3
7689,[712513],,37,,Bacillus subtilis,1.7.3.3
7690,[712197],,37,,Cyberlindnera jadinii,1.7.3.3
7691,[742160],,37,,Papio sp.,1.7.3.3
7692,[724060],,37,,Cyberlindnera jadinii,1.7.3.3
7693,[724149],,37,"isoforms UI, UII, UIII",Aspergillus niger,1.7.3.3
7694,[394146],,40,,Enterobacter cloacae,1.7.3.3
7695,[677261],,40,,Capra sp.,1.7.3.3
7696,[743753],,50,,Cytobacillus firmus,1.7.3.3
7697,[394386],,25,assay at,Penicillium atrovenetum,1.7.3.5
7698,[741900],,25,assay at,Escherichia coli,1.7.5.1
7699,[741971],,25,assay at,Escherichia coli,1.7.5.1
7700,[659256],,93,qNOR in membranes,Pyrobaculum aerophilum,1.7.5.2
7701,[394430],,30,,Cyberlindnera jadinii,1.7.7.1
7702,[660264],,40,,Chlorolobion braunii,1.7.7.1
7703,[394388],,50,increase of activity up to 50&deg;C,Phormidium laminosum,1.7.7.1
7704,[727542],,60,when measured in the presence of 3.3 M NaCl,Haloferax mediterranei,1.7.7.1
7705,[440446],,-999,assay at room temperature,Desmonostoc muscorum,1.7.7.2
7706,[440453],,-999,strong dependence of activity on the temperature and NaCl concentrations,Haloferax mediterranei,1.7.7.2
7707,[440444],,30,assay at,Leptolyngbya boryana,1.7.7.2
7708,[440452],,30,assay at,Desmonostoc muscorum,1.7.7.2
7709,[440451],,37,assay at,Clostridium perfringens,1.7.7.2
7710,[726801],,37,assay at,Haloferax denitrificans,1.7.7.2
7711,[440454],,37,reduced methyl viologen as electron donor,Synechococcus sp.,1.7.7.2
7712,[740422],,50,the enzyme shows a remarkable thermophilicity and works well up to 50&deg;C in the presence of high salt concentrations,Haloferax alexandrinus,1.7.7.2
7713,[440453],,60,for NaCl concentrations of 1.3 and 0.9 M,Haloferax mediterranei,1.7.7.2
7714,[658201],,70,at 3.4 M NaCl,Haloferax mediterranei,1.7.7.2
7715,[440453],,80,for NaCl concentrations of 3.1 and 2.2 M,Haloferax mediterranei,1.7.7.2
7716,[394261],,37,,Pseudomonas aeruginosa,1.7.99.1
7717,[743303],,37,assay at,Caminibacter mediatlanticus,1.7.99.1
7718,[743303],,37,assay at,Nautilia profundicola,1.7.99.1
7719,[743303],,37,assay at,Campylobacter fetus subsp. fetus,1.7.99.1
7720,[743303],,37,assay at,Campylobacter curvus,1.7.99.1
7721,[395110],,24,assay at,Saccharomyces cerevisiae,1.8.1.10
7722,[395012],,25,assay at,Rattus norvegicus,1.8.1.10
7723,[394701],,25,assay at,Asparagus officinalis,1.8.1.11
7724,[394702],,25,assay at,Asparagus officinalis,1.8.1.11
7725,[394703],,25,assay at,Asparagus officinalis,1.8.1.11
7726,[394704],,25,assay at,Asparagus officinalis,1.8.1.11
7727,[394702],45,40,,Asparagus officinalis,1.8.1.11
7728,[394703],45,40,,Asparagus officinalis,1.8.1.11
7729,[394809],,21,assay at,Trypanosoma cruzi,1.8.1.12
7730,[394791],,25,assay at,Trypanosoma cruzi,1.8.1.12
7731,[394794],,25,assay at,Trypanosoma cruzi,1.8.1.12
7732,[394800],,25,assay at,Trypanosoma cruzi,1.8.1.12
7733,[394805],,25,assay at,Trypanosoma cruzi,1.8.1.12
7734,[659676],,25,assay at,Trypanosoma cruzi,1.8.1.12
7735,[660445],,25,assay at,Leishmania donovani,1.8.1.12
7736,[658318],,25,assay at,Entamoeba histolytica,1.8.1.12
7737,[696729],,25,assay at pH 7.5,Trypanosoma cruzi,1.8.1.12
7738,[394761],,27,assay at,Crithidia fasciculata,1.8.1.12
7739,[394785],,27,assay at,Crithidia fasciculata,1.8.1.12
7740,[394787],,27,assay at,Crithidia fasciculata,1.8.1.12
7741,[394785],,27,assay at,Trypanosoma cruzi,1.8.1.12
7742,[659359],,27,assay at,Trypanosoma cruzi,1.8.1.12
7743,[744312],,50,assay at,Pyrococcus horikoshii,1.8.1.14
7744,[701668],,30,assay at,Mycobacterium tuberculosis,1.8.1.15
7745,[698899],,37,assay at,Corynebacterium glutamicum,1.8.1.15
7746,[727547],,65,"assay at, the temperature optimum of the enzyme can not be determined due to the significant thermolability of NADPH above 80&deg;C",Thermococcus litoralis,1.8.1.18
7747,[727447],,70,assay at,Thermococcus kodakarensis,1.8.1.18
7748,[722519],,85,assay at,Pyrococcus furiosus,1.8.1.18
7749,[656421],,25,,Escherichia coli,1.8.1.2
7750,[674504],,95,,Methanocaldococcus jannaschii,1.8.1.2
7751,[659167],,20,assay at,Sus scrofa,1.8.1.4
7752,[743127],,22,assay at room temperature,Rhodococcus ruber,1.8.1.4
7753,[743127],,22,assay at room temperature,Homo sapiens,1.8.1.4
7754,[657980],,25,assay at,Mycobacterium tuberculosis,1.8.1.4
7755,[742126],,25,assay at,Plasmodium falciparum,1.8.1.4
7756,[742909],,28,assay at,Pseudomonas aeruginosa,1.8.1.4
7757,[658799],,30,assay at,Trypanosoma cruzi,1.8.1.4
7758,[727409],,30,assay at,Haloferax volcanii,1.8.1.4
7759,[659099],,37,assay at,Homo sapiens,1.8.1.4
7760,[659101],,37,assay at,Homo sapiens,1.8.1.4
7761,[658431],,37,assay at,Sus scrofa,1.8.1.4
7762,[658600],,37,assay at,Sus scrofa,1.8.1.4
7763,[659866],,37,assay at,Sus scrofa,1.8.1.4
7764,[658431],,37,assay at,Clostridium kluyveri,1.8.1.4
7765,[742221],,37,assay at,Homo sapiens,1.8.1.4
7766,[743050],,37,assay at,Homo sapiens,1.8.1.4
7767,[743051],,37,assay at,Homo sapiens,1.8.1.4
7768,[743052],,37,assay at,Homo sapiens,1.8.1.4
7769,[727213],,37,assay at,Haloferax volcanii,1.8.1.4
7770,[702739],,40,,Clostridium kluyveri,1.8.1.4
7771,[691392],,40,,Clostridium kluyveri,1.8.1.4
7772,[685693],,50,,Hungateiclostridium thermocellum,1.8.1.4
7773,[685693],,50,,Moorella thermoacetica ATCC 39073,1.8.1.4
7774,[394010],,50,,Corynebacterium glutamicum,1.8.1.4
7775,[692385],,55,NADH:lipoamide oxidoreductase activity,Acidianus ambivalens,1.8.1.4
7776,[742523],,30,assay at,Xanthobacter autotrophicus,1.8.1.5
7777,[743682],,22,assay at room temperature,Homo sapiens,1.8.1.6
7778,[686233],,10,,Oncorhynchus mykiss,1.8.1.7
7779,[393993],,25,assay at,Escherichia coli,1.8.1.7
7780,[394710],,25,assay at,Escherichia coli,1.8.1.7
7781,[393993],,25,assay at,Homo sapiens,1.8.1.7
7782,[394718],,25,assay at,Homo sapiens,1.8.1.7
7783,[394723],,25,assay at,Homo sapiens,1.8.1.7
7784,[659592],,25,assay at,Homo sapiens,1.8.1.7
7785,[393993],,25,assay at,Saccharomyces cerevisiae,1.8.1.7
7786,[394709],,25,assay at,Saccharomyces cerevisiae,1.8.1.7
7787,[394718],,25,assay at,Saccharomyces cerevisiae,1.8.1.7
7788,[394723],,25,assay at,Saccharomyces cerevisiae,1.8.1.7
7789,[394764],,25,assay at,Saccharomyces cerevisiae,1.8.1.7
7790,[394766],,25,assay at,Saccharomyces cerevisiae,1.8.1.7
7791,[394723],,25,assay at,Triticum aestivum,1.8.1.7
7792,[394723],,25,assay at,Ovis aries,1.8.1.7
7793,[394718],,25,assay at,Spinacia oleracea,1.8.1.7
7794,[394731],,25,assay at,Pisum sativum,1.8.1.7
7795,[393993],,25,assay at,Hemicentrotus pulcherrimus,1.8.1.7
7796,[394752],,25,assay at,Hemicentrotus pulcherrimus,1.8.1.7
7797,[394740],,25,assay at,Meriones unguiculatus,1.8.1.7
7798,[659182],,25,assay at,Plasmodium falciparum,1.8.1.7
7799,[659698],,25,assay at,Plasmodium falciparum,1.8.1.7
7800,[394733],,25,assay at,Limnospira maxima,1.8.1.7
7801,[694642],,25,assay at,Riccia fluitans,1.8.1.7
7802,[394773],,25,assay at,Triticum turgidum subsp. durum,1.8.1.7
7803,[659902],,25,assay at,Taenia crassiceps,1.8.1.7
7804,[659182],,25,assay at,Homo sapiens,1.8.1.7
7805,[659698],,25,assay at,Homo sapiens,1.8.1.7
7806,[394761],,27,assay at,Homo sapiens,1.8.1.7
7807,[394761],,27,assay at,Bos taurus,1.8.1.7
7808,[394761],,27,assay at,Trypanosoma brucei rhodesiense,1.8.1.7
7809,[394761],,27,assay at,Trypanosoma brucei gambiense,1.8.1.7
7810,[394713],,28,,Achromobacter starkeyi,1.8.1.7
7811,[394759],,30,assay at,Chlamydomonas reinhardtii,1.8.1.7
7812,[394737],,30,assay at,Escherichia coli,1.8.1.7
7813,[394712],,30,assay at,Homo sapiens,1.8.1.7
7814,[394739],,30,assay at,Rattus norvegicus,1.8.1.7
7815,[658797],,30,assay at,Rattus norvegicus,1.8.1.7
7816,[394722],,30,assay at,Sus scrofa,1.8.1.7
7817,[659860],,30,assay at,Bos taurus,1.8.1.7
7818,[394772],,30,assay at,Anabaena sp.,1.8.1.7
7819,[701146],,35,,Phaeodactylum tricornutum,1.8.1.7
7820,[726094],,35,,Setaria cervi,1.8.1.7
7821,[658730],,37,,Escherichia coli,1.8.1.7
7822,[657878],,37,assay at,Homo sapiens,1.8.1.7
7823,[394717],,37,assay at,Ovis aries,1.8.1.7
7824,[394756],,37,assay at,Moniezia expansa,1.8.1.7
7825,[659594],,37,assay at,Physarum polycephalum,1.8.1.7
7826,[394771],,40,,Acidithiobacillus ferrooxidans,1.8.1.7
7827,[743274],,40,,Cenchrus americanus,1.8.1.7
7828,[394774],,45,exponential increase in activity up to 45&deg;C,Triticum aestivum,1.8.1.7
7829,[394765],,49,,Chlamydomonas reinhardtii,1.8.1.7
7830,[657570],,50,,Gallus gallus,1.8.1.7
7831,[688951],,50,,Bos taurus,1.8.1.7
7832,[724919],55,50,,Camelus dromedarius,1.8.1.7
7833,[660339],,55,,Bos taurus,1.8.1.7
7834,[394770],,55,,Cyberlindnera mrakii,1.8.1.7
7835,[713468],,65,,Rattus norvegicus,1.8.1.7
7836,[742814],,65,,Rattus norvegicus,1.8.1.7
7837,[657677],,25,assay at,Salmonella enterica subsp. enterica serovar Typhimurium,1.8.1.8
7838,[659424],,25,assay at,Mycobacterium tuberculosis,1.8.1.8
7839,[394941],,20,assay at,Homo sapiens,1.8.1.9
7840,[394944],,20,assay at,Homo sapiens,1.8.1.9
7841,[394944],,20,assay at,Bos taurus,1.8.1.9
7842,[394943],,20,assay at,Plasmodium falciparum,1.8.1.9
7843,[394949],,25,assay at,Drosophila melanogaster,1.8.1.9
7844,[394918],,25,assay at,Escherichia coli,1.8.1.9
7845,[394911],,25,assay at,Homo sapiens,1.8.1.9
7846,[394929],,25,assay at,Saccharomyces cerevisiae,1.8.1.9
7847,[394924],,25,assay at,Bos taurus,1.8.1.9
7848,[394925],,25,assay at,Triticum aestivum,1.8.1.9
7849,[744154],,25,assay at,Pyrococcus furiosus,1.8.1.9
7850,[744154],,25,assay at,Pyrococcus horikoshii,1.8.1.9
7851,[742017],,30,,Babesia bovis,1.8.1.9
7852,[394952],,37,assay at,Bos taurus,1.8.1.9
7853,[742474],,40,,Haemonchus contortus,1.8.1.9
7854,[394934],,40,reduction of insulin,Homo sapiens,1.8.1.9
7855,[743880],,50,,Meleagris gallopavo,1.8.1.9
7856,[394934],,52,reduction of DTNB,Homo sapiens,1.8.1.9
7857,[658612],,90,above,Aeropyrum pernix,1.8.1.9
7858,[725773],,28,"for 5,5'-dithiobis(2-nitrobenzoic acid) reductase activity",Taenia crassiceps,1.8.1.B1
7859,[725773],,40,for glutathione reductase activity,Taenia crassiceps,1.8.1.B1
7860,[742460],,40,both cytolsolic and mitochondrial isoform,Taenia solium,1.8.1.B1
7861,[679756],,60,assay at,Saccharolobus solfataricus,1.8.1.B4
7862,[701047],,60,assay at,Saccharolobus solfataricus,1.8.1.B4
7863,[394088],,20,,Acidithiobacillus thiooxidans,1.8.2.1
7864,[743146],,22,assay at room temperature,Sinorhizobium meliloti,1.8.2.1
7865,[667714],,25,,Homo sapiens,1.8.2.1
7866,[394078],,30,,Rhodotorula sp.,1.8.2.1
7867,[394087],,65,,Starkeya novella,1.8.2.1
7868,[676077],,25,activity assay,Allochromatium vinosum,1.8.2.2
7869,[394122],,30,,Pseudomonas sp.,1.8.2.2
7870,[394078],,30,,Rhodotorula sp.,1.8.2.2
7871,[742887],,30,assay at,Allochromatium vinosum,1.8.2.2
7872,[394116],42,30,,Pseudomonas aeruginosa,1.8.2.2
7873,[394123],,40,,Alcaligenes sp.,1.8.2.2
7874,[726008],,42,,Campylobacter jejuni,1.8.2.2
7875,[724028],,50,recombinant protein,Acidithiobacillus ferrooxidans,1.8.2.2
7876,[724028],,70,native protein,Acidithiobacillus ferrooxidans,1.8.2.2
7877,[667714],,25,,Homo sapiens,1.8.3.1
7878,[741495],,25,assay at,Homo sapiens,1.8.3.1
7879,[741618],,25,assay at,Homo sapiens,1.8.3.1
7880,[743226],,25,assay at,Homo sapiens,1.8.3.1
7881,[741618],37,25,assay at,Homo sapiens,1.8.3.1
7882,[669741],,30,,Malva sylvestris,1.8.3.1
7883,[668011],,30,,Acidithiobacillus thiooxidans,1.8.3.1
7884,[669129],,55,,Deinococcus radiodurans,1.8.3.1
7885,[668531],,60,,Thermus thermophilus,1.8.3.1
7886,[704513],13,9,assay at,Arabidopsis thaliana,1.8.3.2
7887,[657948],,25,assay at,Gallus gallus,1.8.3.2
